Begriff,Quelle,Assoziations-Score
Kurzumtriebsplantage,UBA Wortliste,3.333333333333333
Küstenschutz,UBA Wortliste,4.0
KWK,UBA Wortliste,2.666666666666667
Ladeinfrastruktur,UBA Wortliste,3.666666666666667
Ladesäule,UBA Wortliste,3.333333333333333
Ladestation,Word2Vec,3.333333333333333
Landbau,GermaNet,1.0
Landesbauordnung,Word2Vec,1.333333333333333
Landespflege,Word2Vec,2.333333333333333
Landmanagement,UBA Wortliste,2.666666666666667
Landnutzungsplanung,UBA Wortliste,2.666666666666667
Landnutzungswandel,UBA Wortliste,2.333333333333333
Landpflanze,GermaNet,2.0
Landschaftsarchitektur,Word2Vec,2.0
Landschaftsbau,UBA Wortliste,2.666666666666667
Landschaftsentwicklung,Word2Vec,2.0
Landschaftsgarten,GermaNet,2.0
Landschaftsökologie,GermaNet,4.0
Landschaftspark,GermaNet,2.0
Landschaftspflege,UBA Wortliste,3.0
Landschaftsplanung,UBA Wortliste,2.666666666666667
Landschaftsschutz,UBA Wortliste,4.0
landschaftsverträglich,GermaNet,4.0
Landtechnik,GermaNet,1.666666666666667
Landwirte,Word2Vec,1.0
Landwirtschaft,GermaNet,1.0
Landwirtschaftsprodukt,GermaNet,1.0
Landwirtschaftsreform,GermaNet,2.666666666666667
längere Haltbarkeit,Word2Vec,3.0
Langlebig,UBA Wortliste,4.0
LANUV,Word2Vec,3.666666666666667
Lärmbekämpfung,UBA Wortliste,2.666666666666667
Lärmemission,GermaNet,2.0
Lärmgrenzwerte,Word2Vec,2.0
Lärmgutachten,Word2Vec,2.0
Lärmmessungen,UBA Wortliste,2.666666666666667
lärmmindernde,Word2Vec,2.0
Lärmminderung,UBA Wortliste,2.666666666666667
Lärmreduzierung,GermaNet,2.0
Lärmsanierung,UBA Wortliste,2.666666666666667
Lärmschutz,UBA Wortliste,2.666666666666667
Lärmschutzgutachten,Word2Vec,2.0
Lärmschutzmaßnahmen,Word2Vec,2.0
Lärmschutzwände,Word2Vec,2.0
Lastenrad,GermaNet,4.0
Laubenkolonie,GermaNet,2.333333333333333
Laufkraftwerk,Word2Vec,3.333333333333333
Lebensmittelreste,UBA Wortliste,1.333333333333333
Lebenszyklusanalyse,UBA Wortliste,4.0
LED,UBA Wortliste,2.666666666666667
LED-Lampe,Word2Vec,2.666666666666667
LED-Leuchten,Word2Vec,2.666666666666667
LED-Technik,Word2Vec,2.666666666666667
Leergut,GermaNet,2.0
Leichtbau,UBA Wortliste,3.0
Leichtbautechnologien,UBA Wortliste,3.0
Leichtbauweise,GermaNet,3.0
Leichtlaufreifen,UBA Wortliste,2.333333333333333
Leichtverpackungen,Word2Vec,2.0
Leihfahrrad,GermaNet,3.0
Leihrad,GermaNet,3.0
Leihwagen,Word2Vec,2.0
Lein,GermaNet,2.666666666666667
Leitungssystem,Word2Vec,1.0
Leuchtdiode,GermaNet,2.666666666666667
Liegerad,GermaNet,2.666666666666667
Linearmotor,GermaNet,3.333333333333333
Lithium-Ionen-Akku,Word2Vec,3.333333333333333
Lithium-Ionen-Batterie,UBA Wortliste,3.333333333333333
Löschwassertank,UBA Wortliste,1.0
Löschwasserversorgung,Word2Vec,1.666666666666667
Luftentkeimung,UBA Wortliste,2.333333333333333
Luftfilter,Word2Vec,2.333333333333333
Luftkondensator,GermaNet,1.0
Luftmessungen,Word2Vec,3.0
Luftreinhaltung,UBA Wortliste,3.333333333333333
Lüftungsanlagen,Word2Vec,1.0
Lüftungstechnik,UBA Wortliste,1.333333333333333
Makulatur,GermaNet,1.0
Maschinenbauerzeugnisse,UBA Wortliste,1.0
materialeffizient,UBA Wortliste,4.0
Materialeffizienz,UBA Wortliste,4.0
Materialeinsparung,UBA Wortliste,4.333333333333333
Materialkosteneinsparung,UBA Wortliste,3.0
Materialproduktivität,UBA Wortliste,3.0
Materialprüfung,Word2Vec,1.666666666666667
Materialwissenschaft,Word2Vec,1.333333333333333
meeresbiologisch,GermaNet,1.0
Meeresenergie,UBA Wortliste,4.0
Meeresfauna,GermaNet,3.0
Meerespflanze,GermaNet,2.0
Meeresströmungskraftwerk,UBA Wortliste,3.666666666666667
Meeresumwelt,Word2Vec,3.666666666666667
Meeresverschmutzung,UBA Wortliste,4.666666666666667
Meereswärmekraftwerk,UBA Wortliste,3.666666666666667
Meerwasserentsalzung,UBA Wortliste,2.0
Megafauna,GermaNet,3.0
Mehrfachsolarzelle,manuell ergänzt,4.0
Mehrfachverwendung,GermaNet,4.0
Mehrfachzelle,UBA Wortliste,4.0
Mehrstufen-Entspannungsverdampfung,UBA Wortliste,2.333333333333333
Mehrstufen-Entspannungs-Verdampfung,manuell ergänzt,2.333333333333333
Mehrweg,UBA Wortliste,4.0
Membran-Aufbereitungsanlage,UBA Wortliste,1.666666666666667
Membranelektrolyse ,UBA Wortliste,1.666666666666667
Membranfiltertechnik,UBA Wortliste,1.666666666666667
Membrantechnologie,UBA Wortliste,1.666666666666667
Membran-Verfahren,UBA Wortliste,1.666666666666667
Messgasaufbereitung,UBA Wortliste,1.666666666666667
Messtechnik,UBA Wortliste,1.0
Metallschrott,GermaNet,1.0
Metallspäne,UBA Wortliste,1.0
Methangas,Word2Vec,1.333333333333333
Methanisierung,Word2Vec,2.0
Micro Grid,manuell ergänzt,2.666666666666667
Mietauto,Word2Vec,2.0
Mietwagen,Word2Vec,2.0
Mikroheizkraftwerk,UBA Wortliste,3.333333333333333
Mikro-Stromnetz,UBA Wortliste,3.666666666666667
Mineralwolle,Word2Vec,2.333333333333333
Miniheizkraftwerk,UBA Wortliste,3.666666666666667
Miscanthus,UBA Wortliste,3.0
Mischabfälle,UBA Wortliste,1.0
Mitfahrgelegenheit,UBA Wortliste,3.333333333333333
Mitfahrzentralen,Word2Vec,2.333333333333333
Mobilitätsdienstleister,UBA Wortliste,2.0
Mobilitätsdienstleistungen,UBA Wortliste,2.0
Mobilitätskonzept,UBA Wortliste,3.0
Mountainbike,Word2Vec,2.0
MSR,UBA Wortliste,1.0
Mulchen,Word2Vec,2.0
Müll,GermaNet,1.0
Müllabfuhr,GermaNet,1.333333333333333
Müllabladeplatz,GermaNet,1.0
Müllbeseitigung,GermaNet,2.0
Mülldeponie,GermaNet,1.0
Müllentsorgung,GermaNet,2.0
Müllfahrzeug,Word2Vec,1.333333333333333
Müllhalde,GermaNet,1.0
Müllkippe,GermaNet,1.0
Müllplatz,GermaNet,1.0
Müllsack,UBA Wortliste,1.333333333333333
Müllsäcke,UBA Wortliste,1.333333333333333
Müllsortierung,GermaNet,2.0
Mülltonne,Word2Vec,1.333333333333333
Mülltransport,UBA Wortliste,1.333333333333333
Mülltrennung,GermaNet,2.0
Mülltüte,Word2Vec,1.666666666666667
Müllumladestation,UBA Wortliste,1.0
Müllverbrennung,UBA Wortliste,1.333333333333333
Müllverbrennungsanlage,Word2Vec,1.0
Müllvermeidung,UBA Wortliste,4.0
Müllwagen,Word2Vec,1.333333333333333
Multispektralzelle,UBA Wortliste,3.666666666666667
Multi-Stage-Flash,manuell ergänzt,2.333333333333333
Munitionsbeseitigung,UBA Wortliste,1.666666666666667
Mutterpflanze,GermaNet,1.666666666666667
Nachfolgenutzung,Word2Vec,3.0
nachhaltige Bewirtschaftung,Word2Vec,4.0
nachhaltige Energieversorgung,Word2Vec,4.0
nachhaltige Landwirtschaft,Word2Vec,4.0
nachhaltige Mobilität,Word2Vec,3.333333333333333
nachhaltigen Tourismus,Word2Vec,4.0
nachhaltiges Handeln,Word2Vec,4.333333333333333
nachhaltiges Wirtschaften,Word2Vec,3.666666666666667
Nachhaltigkeit,Word2Vec,4.666666666666667
Nachhaltigkeitsanalyse,UBA Wortliste,4.333333333333333
Nachhaltigkeitsmanagement,UBA Wortliste,4.666666666666667
Nachnutzung,Word2Vec,3.0
Nachtspeicherheizung,Word2Vec,1.666666666666667
nachwachsend,UBA Wortliste,4.333333333333333
nachwachsender Rohstoff,Word2Vec,4.0
Nadelholzgewächs,GermaNet,1.666666666666667
Nagios,Word2Vec,1.666666666666667
Naherholungsgebiet,Word2Vec,3.0
Nahrungsnetzanalyse,UBA Wortliste,3.0
Nahwärme,Word2Vec,2.0
Nahwärmenetze,UBA Wortliste,2.333333333333333
nanoskalige Materialien,UBA Wortliste,1.0
Nanotechnik,Word2Vec,1.0
Nanotechnologie,UBA Wortliste,1.0
Nationalpark,GermaNet,3.0
Naturdämmstoffe,UBA Wortliste,3.0
Naturfasern,manuell ergänzt,2.666666666666667
naturfaserverstärkte Kunststoffe,UBA Wortliste,2.666666666666667
Naturhaushalt,GermaNet,4.0
Naturkosmetik,UBA Wortliste,3.0
Naturkosmetikartikel,GermaNet,3.0
Naturkosthandel,UBA Wortliste,3.666666666666667
Naturkostladen,UBA Wortliste,3.666666666666667
Naturland,UBA Wortliste,4.0
natürliche Ressourcen,UBA Wortliste,4.333333333333333
Naturpark,GermaNet,3.666666666666667
Naturressourcen,Word2Vec,3.666666666666667
Naturschutz,UBA Wortliste,5.0
Naturschutzbehörde,GermaNet,4.666666666666667
Naturschutzbund,GermaNet,4.666666666666667
Naturschützer,GermaNet,4.666666666666667
Naturschützerin,GermaNet,4.666666666666667
Naturschutzgebiet,Word2Vec,4.333333333333333
Naturschutzgesetz,GermaNet,4.333333333333333
Naturschutzmaßnahmen,Word2Vec,5.0
Naturschutzpark,GermaNet,4.333333333333333
Naturschutzverband,GermaNet,4.666666666666667
Naturschutzverbund,GermaNet,4.666666666666667
Naturstrom,UBA Wortliste,4.333333333333333
Naturtourismus,Word2Vec,4.0
naturverträglich,GermaNet,4.666666666666667
Nebenerwerbslandwirtschaft,GermaNet,1.0
Neophyt,GermaNet,1.666666666666667
Netzanbindung,UBA Wortliste,1.0
Netzanschluss,Word2Vec,1.0
Netzausbau,UBA Wortliste,1.0
Netzentwicklung,UBA Wortliste,1.0
Netzerweiterung,GermaNet,1.0
Netzinfrastruktur,UBA Wortliste,1.0
Netzqualität,Word2Vec,1.0
Netzstabilität,Word2Vec,1.333333333333333
neuartige Sanitärsysteme,UBA Wortliste,3.333333333333333
Neunutzung,Word2Vec,1.333333333333333
nicht-fossile Materie,UBA Wortliste,4.333333333333333
niederenergetisch,GermaNet,2.333333333333333
Niederschlagswasser,Word2Vec,2.0
Niedrigenergiehaus,Word2Vec,3.666666666666667
Niedrigenergiehäuser,UBA Wortliste,3.666666666666667
Nitrifikation,Word2Vec,2.333333333333333
Null-Energiehaus,UBA Wortliste,4.0
Nutzbremse,Word2Vec,3.0
Nutzung Abwärme,Word2Vec,3.333333333333333
Nutzungsgrad,Word2Vec,2.0
Oberflächenwasser,Word2Vec,1.333333333333333
Oberflächenwasserschutz,UBA Wortliste,3.666666666666667
Oberleitungsbus,UBA Wortliste,3.0
Oberleitungsbusbetrieb,Word2Vec,3.0
Oberleitungsbus-Betrieb,Word2Vec,3.0
Obstbau,Word2Vec,1.666666666666667
Obusbetrieb,Word2Vec,3.0
Obus-Betrieb,Word2Vec,3.0
offenporiger Asphalt,UBA Wortliste,1.666666666666667
öffentlicher Nahverkehr,Word2Vec,2.666666666666667
öffentlicher Personennahverkehr,UBA Wortliste,2.666666666666667
Offshore,UBA Wortliste,3.333333333333333
Offshore-Anlagen,Word2Vec,3.333333333333333
Offshorewindpark,GermaNet,3.333333333333333
Offshore-Windparks,Word2Vec,3.333333333333333
Ökobewegung,UBA Wortliste,4.666666666666667
Ökobilanz,manuell ergänzt,4.333333333333333
Ökodesign,UBA Wortliste,4.0
Ökoenergie,Word2Vec,4.0
Ökolandbau,UBA Wortliste,4.0
öko-Landbau,Word2Vec,4.0
ökolog.,UBA Wortliste,4.0
Ökologie,UBA Wortliste,4.666666666666667
Ökologin,GermaNet,4.0
ökologisch,UBA Wortliste,4.666666666666667
ökologisch sinnvoll,Word2Vec,4.666666666666667
ökologische Gleichgewicht,Word2Vec,4.0
ökologische Landwirtschaft,Word2Vec,4.0
ökologische Nachhaltigkeit,Word2Vec,4.666666666666667
ökologischer Landbau,Word2Vec,4.0
Ökopflaster,manuell ergänzt,3.666666666666667
Öko-Pflaster,UBA Wortliste,3.666666666666667
Ökosolar,UBA Wortliste,4.0
Öko-Solar,manuell ergänzt,4.0
Ökostrom,UBA Wortliste,4.333333333333333
Ökostrom-Foerderung,Word2Vec,4.0
Ökosystem,UBA Wortliste,4.0
ökosystemare Dienstleistung,UBA Wortliste,4.0
Ökosystemdienstleistung,UBA Wortliste,4.0
Ökosystemforschung,Word2Vec,3.333333333333333
Ökosystemleistung,manuell ergänzt,4.0
Ökotourismus,UBA Wortliste,4.0
Öko-Tourismus,manuell ergänzt,4.0
Ölabsorber,manuell ergänzt,1.333333333333333
Öl-Absorber,manuell ergänzt,1.333333333333333
Ölaufsaugmittel,UBA Wortliste,1.666666666666667
Ölbindemittel,manuell ergänzt,1.666666666666667
OLED,manuell ergänzt,3.0
Ölfilter,UBA Wortliste,1.333333333333333
Ölverschmutzungen,Word2Vec,3.0
on-board Ladetechnik,UBA Wortliste,3.333333333333333
Onshore,UBA Wortliste,3.333333333333333
öpnv,UBA Wortliste,2.666666666666667
ORC-Prozess,manuell ergänzt,2.666666666666667
ORC-Technologie,UBA Wortliste,2.666666666666667
organic LED,manuell ergänzt,3.0
organic light emitted diode,UBA Wortliste,3.0
organic light-emitted diode,manuell ergänzt,3.0
Organic Rankine Cycle,manuell ergänzt,2.666666666666667
Organic-Rankine-Cycle,UBA Wortliste,2.666666666666667
Osmosekraftwerk,UBA Wortliste,3.333333333333333
Ozongenerator,UBA Wortliste,2.333333333333333
Ozonierung,UBA Wortliste,2.333333333333333
Ozonklimagenerator,UBA Wortliste,2.666666666666667
P2G,UBA Wortliste,2.0
Papiermüll,Word2Vec,1.333333333333333
Parabolrinnenkollektor,UBA Wortliste,4.0
Parabolrinnen-Kollektor,manuell ergänzt,4.0
Park-and-Ride-Konzept,UBA Wortliste,2.666666666666667
Parkanlage,UBA Wortliste,2.333333333333333
Parkraumkonzept,Word2Vec,1.666666666666667
Partikelfilter,UBA Wortliste,2.333333333333333
Passivhaus,UBA Wortliste,3.666666666666667
Passivhäuser,UBA Wortliste,3.666666666666667
Passivhausstandard,Word2Vec,3.666666666666667
Passivierung,GermaNet,1.666666666666667
Pedelecs,UBA Wortliste,3.333333333333333
Pellet,UBA Wortliste,2.666666666666667
Pelletheizungen,Word2Vec,2.666666666666667
Pelletsheizung,Word2Vec,2.666666666666667
Pfandsystem,Word2Vec,3.666666666666667
Pflanze,UBA Wortliste,2.666666666666667
Pflanzengeografie,GermaNet,1.333333333333333
Pflanzengeographie,GermaNet,1.333333333333333
Pflanzenkläranlage,GermaNet,2.333333333333333
Pflanzenschutz,Word2Vec,2.0
Pflanzensoziologie,GermaNet,3.0
pflanzenverträglich,GermaNet,4.0
pH-Messgerät,UBA Wortliste,2.0
Photonenenergie,Word2Vec,3.666666666666667
Photonik,Word2Vec,1.333333333333333
Photovoltaik,UBA Wortliste,4.0
Photovoltaikanlage,GermaNet,4.0
Photovoltaik-Anlage,Word2Vec,4.0
Phytopathologie,Word2Vec,1.666666666666667
Pinchanalyse,UBA Wortliste,3.333333333333333
Pinch-Analyse,manuell ergänzt,3.333333333333333
Pionierpflanze,GermaNet,1.666666666666667
Plantagenwirtschaft,GermaNet,1.0
Plastikmüll,GermaNet,1.0
Plastiksack,Word2Vec,1.0
Plastiksäcke,Word2Vec,1.0
Plastiktüte,Word2Vec,1.0
Plattenkondensator,GermaNet,1.0
Plug-In Hybrid,manuell ergänzt,3.333333333333333
Plug-in-Hybrid,UBA Wortliste,3.333333333333333
Plug-in-Hybridantrieb,Word2Vec,3.333333333333333
Plusenergiehaus,Word2Vec,3.666666666666667
Plus-Energie-Haus,UBA Wortliste,3.666666666666667
Polsterpflanze,GermaNet,1.666666666666667
Polyethylen,UBA Wortliste,1.0
Polylactid,UBA Wortliste,1.666666666666667
Polypropylen,UBA Wortliste,1.0
Power-to-Gas,UBA Wortliste,2.0
Power-to-Heat ,UBA Wortliste,3.0
Power-to-Liquid,UBA Wortliste,3.0
PP,GermaNet,1.0
Primärenergiebedarf,GermaNet,1.666666666666667
Produktionsabfall,GermaNet,1.0
Produktverantwortung,UBA Wortliste,3.333333333333333
Prozessdampf,Word2Vec,1.0
Prozessleittechnik,UBA Wortliste,1.0
Prozessmanagement,Word2Vec,1.333333333333333
Prozessoptimierung,UBA Wortliste,1.0
Prozesstechnik,Word2Vec,1.0
Prozesswärme,Word2Vec,3.666666666666667
Prozesswasser,UBA Wortliste,1.0
Pufferspeicher,Word2Vec,1.0
Pumpensysteme,UBA Wortliste,1.0
Pumpspeicher,Word2Vec,3.0
Pumpspeicherkraftwerke,UBA Wortliste,3.0
Pumpspeicherung,UBA Wortliste,3.666666666666667
Pumpspeicherwerk,GermaNet,3.0
PV-Anlage,UBA Wortliste,4.0
PV-Stromerzeugungsanlage,UBA Wortliste,4.0
Quicar,UBA Wortliste,3.333333333333333
Radfahren,GermaNet,3.666666666666667
Radfahrt,GermaNet,3.666666666666667
Radverkehrskonzept,Word2Vec,3.666666666666667
Radwege,Word2Vec,3.333333333333333
Radwegekonzept,Word2Vec,3.666666666666667
Range-Extender,Word2Vec,2.0
Rankpflanze,GermaNet,1.666666666666667
Rasenfläche,Word2Vec,2.666666666666667
Rauchfangkehrer,GermaNet,1.0
Rauchfangkehrerin,GermaNet,1.0
Rauchgas,UBA Wortliste,1.0
Rauchgasentschwefelung,UBA Wortliste,1.666666666666667
Rauchgasreinigung,Word2Vec,1.666666666666667
Raumentwicklung,Word2Vec,1.666666666666667
Raupenfutterpflanze,GermaNet,1.666666666666667
Rebbau,GermaNet,1.0
Recyceln,Word2Vec,4.0
Recycler,UBA Wortliste,4.0
Recycling,UBA Wortliste,4.0
Recyclinganlage,Word2Vec,3.666666666666667
Recyclinghof,Word2Vec,3.333333333333333
Recyclingmaterial,Word2Vec,3.666666666666667
Reformhaus,UBA Wortliste,3.666666666666667
Reformhäuser,UBA Wortliste,3.666666666666667
Regeltechnik,UBA Wortliste,1.0
Regelungstechnik,GermaNet,1.0
Regelungstechnologien für Anlagen,UBA Wortliste,1.0
Regelungstechnologien für Netze,UBA Wortliste,1.0
Regelventil,UBA Wortliste,1.666666666666667
regenerativ,UBA Wortliste,4.333333333333333
Regenerative Energien,Word2Vec,4.0
regenerativen Quellen,Word2Vec,4.0
Regenerator,GermaNet,2.0
Regenerierungsanlage,UBA Wortliste,2.0
Regenrückhaltebecken,Word2Vec,2.333333333333333
Regenüberlaufbecken,Word2Vec,2.0
Regenwasser,Word2Vec,3.333333333333333
Regenwasseraufbereitung,UBA Wortliste,3.0
Regenwasserbehandlung,UBA Wortliste,3.0
Regenwassernutzung,GermaNet,3.0
Regenwassersammelsystem,UBA Wortliste,3.333333333333333
regionale Wertschöpfung,Word2Vec,3.666666666666667
Regionalpark,GermaNet,3.333333333333333
regulierende Dienstleistungen,UBA Wortliste,2.0
Reinigungstechnik,UBA Wortliste,1.666666666666667
Reiserad,GermaNet,2.666666666666667
Rekultivierung,UBA Wortliste,4.0
Rekuperation,UBA Wortliste,3.0
Rekuperationsbremse,Word2Vec,3.0
Rekuperatoren,UBA Wortliste,4.0
Renaturierung,UBA Wortliste,4.0
Renaturierungsmassnahmen,Word2Vec,4.0
Rennmaschine,GermaNet,2.0
Rennrad,GermaNet,2.666666666666667
Reparatur,UBA Wortliste,2.666666666666667
Repowering,UBA Wortliste,3.333333333333333
Reservekraftwerke,Word2Vec,1.666666666666667
Ressourcen schonen,Word2Vec,4.666666666666667
Ressourcenbündel,UBA Wortliste,1.0
Ressourceneffizienz,UBA Wortliste,4.666666666666667
Ressourceneinsatz,Word2Vec,3.333333333333333
Ressourceneinsparung,UBA Wortliste,4.666666666666667
Ressourcenknappheit,UBA Wortliste,4.666666666666667
Ressourcenmanagement,UBA Wortliste,4.333333333333333
Ressourcenmangel,GermaNet,4.666666666666667
Ressourcennutzung,Word2Vec,4.0
ressourcenschonend,UBA Wortliste,4.666666666666667
Ressourcenschonung,UBA Wortliste,4.666666666666667
Ressourcenschutz,UBA Wortliste,4.666666666666667
Ressourcenverbrauch,UBA Wortliste,4.666666666666667
Restabfall,GermaNet,1.0
Resteverwertung,GermaNet,2.666666666666667
Restholz,Word2Vec,1.0
Restmüll,GermaNet,1.0
Reststoffen,Word2Vec,2.0
Reststoffverwertung,UBA Wortliste,4.0
Revierpark,GermaNet,2.0
Revitalisierung,UBA Wortliste,2.666666666666667
Riffgat,Word2Vec,3.0
Rohrleitungsbau-Handwerk,UBA Wortliste,1.0
Rohstoffeffizienz,UBA Wortliste,4.333333333333333
Rohstoffkonzept,UBA Wortliste,4.0
rohstoffliche Verwertung,UBA Wortliste,3.666666666666667
Rohstoffrückgewinnung,UBA Wortliste,4.666666666666667
Rostschutz,Word2Vec,1.0
Rückbau,UBA Wortliste,1.666666666666667
Rückbauarbeiten,Word2Vec,1.666666666666667
